Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
72h	2	2.72.3	2.472	2.340909091	51.58	T40356_20221121_1656_024_Tdata2	batch203_1	2214.54	0.1	0.1056	1	31.99	2029.92	0.05158	2214.54
72h	3	3.72.1	2.518	2.384469697	49.8	T40356_20221121_1709_025_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.70	2029.92	0.0498	2214.54
72h	3	3.72.1	2.545	2.410037879	50.47	T40356_20221121_1709_025_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.70	2029.92	0.05047	2214.54
72h	3	3.72.2	2.533	2.398674242	55.21	T40356_20221121_1720_026_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.87	2029.92	0.05521	2214.54
72h	3	3.72.2	2.534	2.399621212	50.41	T40356_20221121_1720_026_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.87	2029.92	0.05041	2214.54
72h	3	3.72.3	2.586	2.448863636	50.72	T40356_20221121_1731_027_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.52	2029.92	0.05072	2214.54
72h	3	3.72.3	2.554	2.418560606	49.87	T40356_20221121_1731_027_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.52	2029.92	0.04987	2214.54
72h	4	4.72.1	2.455	2.324810606	55.04	T40356_20221121_1740_028_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.66	2029.92	0.05504	2214.54
72h	4	4.72.1	2.442	2.3125	51.56	T40356_20221121_1740_028_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.66	2029.92	0.05156	2214.54
72h	4	4.72.2	2.467	2.336174242	51.05	T40356_20221121_1749_029_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.94	2029.92	0.05105	2214.54
72h	4	4.72.2	2.453	2.322916667	50.54	T40356_20221121_1749_029_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.94	2029.92	0.05054	2214.54
72h	4	4.72.3	2.486	2.354166667	50.6	T40356_20221121_1759_030_Tdata1	batch203_1	2214.54	0.1	0.1056	1	34.36	2029.92	0.0506	2214.54
72h	4	4.72.3	2.481	2.349431818	53.19	T40356_20221121_1759_030_Tdata2	batch203_1	2214.54	0.1	0.1056	1	34.36	2029.92	0.05319	2214.54
0h	7	7.0.1	2.198	2.289718344	49.74	T40356_20221214_1243_068_Tdata1	SS20221209_2	2430	0.1	0.1061	8	33.86	2029.92	0.04974	2214.54
0h	7	7.0.1	2.187	2.278718344	50.41	T40356_20221214_1243_068_Tdata2	SS20221209_2	2430	0.1	0.1061	8	33.86	2029.92	0.05041	2214.54
0h	7	7.0.2	2.155	2.246718344	49.23	T40356_20221215_1201_081_Tdata1	SS20221209_3	2430	0.1	0.1061	9	33.90	2029.92	0.04923	2214.54
0h	7	7.0.3	2.21	2.301718344	49.12	T40356_20221214_1315_070_Tdata3	SS20221209_2	2430	0.1	0.1061	8	32.40	2029.92	0.04912	2214.54
0h	7	7.0.3	2.23	2.321718344	52.27	T40356_20221214_1315_070_Tdata4	SS20221209_2	2430	0.1	0.1061	8	32.40	2029.92	0.05227	2214.54
0h	7	7.0.4	2.159	2.250718344	49.38	T40356_20221215_1211_082_Tdata1	SS20221209_3	2430	0.1	0.1061	9	33.88	2029.92	0.04938	2214.54
0h	7	7.0.4	2.157	2.248718344	50.42	T40356_20221215_1211_082_Tdata2	SS20221209_3	2430	0.1	0.1061	9	33.88	2029.92	0.05042	2214.54
0h	7	7.0.5	2.166	2.257718344	48.85	T40356_20221215_1224_083_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.24	2029.92	0.04885	2214.54
0h	7	7.0.5	2.164	2.255718344	50.23	T40356_20221215_1224_083_Tdata3	SS20221209_3	2430	0.1	0.1061	9	34.24	2029.92	0.05023	2214.54
6h	5	5.6.1	2.317	2.408718344	49.96	T40356_20221214_1334_071_Tdata1	SS20221209_2	2430	0.1	0.1061	8	35.13	2029.92	0.04996	2214.54
6h	5	5.6.1	2.387	2.478718344	51.09	T40356_20221214_1334_071_Tdata2	SS20221209_2	2430	0.1	0.1061	8	35.13	2029.92	0.05109	2214.54
6h	5	5.6.1	2.268	2.359718344	53.17	T40356_20221215_1249_085_Tdata1	SS20221209_3	2430	0.1	0.1061	9	35.13	2029.92	0.05317	2214.54
6h	5	5.6.1	2.276	2.367718344	55.83	T40356_20221215_1416_094_Tdata1	SS20221209_3	2430	0.1	0.1061	9	35.13	2029.92	0.05583	2214.54
6h	5	5.6.2	2.014	2.105718344	49.22	T40356_20221214_1354_072_Tdata1	SS20221209_2	2430	0.1	0.1061	8	34.78	2029.92	0.04922	2214.54
6h	5	5.6.2	2.067	2.158718344	49.02	T40356_20221214_1354_072_Tdata2	SS20221209_2	2430	0.1	0.1061	8	34.78	2029.92	0.04902	2214.54
6h	5	5.6.3	2.04	2.131718344	50.11	T40356_20221214_1412_073_Tdata1	SS20221209_2	2430	0.1	0.1061	8	35.28	2029.92	0.05011	2214.54
6h	5	5.6.3	2.087	2.178718344	51.38	T40356_20221214_1412_073_Tdata2	SS20221209_2	2430	0.1	0.1061	8	35.28	2029.92	0.05138	2214.54
6h	5	5.6.3	2.068	2.159718344	48.23	T40356_20221214_1430_074_Tdata1	SS20221209_2	2430	0.1	0.1061	8	35.28	2029.92	0.04823	2214.54
6h	5	5.6.4	2.243	2.334718344	50	T40356_20221215_1303_086_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.91	2029.92	0.05	2214.54
6h	5	5.6.4	2.243	2.334718344	49.61	T40356_20221215_1303_086_Tdata3	SS20221209_3	2430	0.1	0.1061	9	34.91	2029.92	0.04961	2214.54
6h	5	5.6.5	2.264	2.355718344	49.2	T40356_20221215_1313_087_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.94	2029.92	0.0492	2214.54
6h	5	5.6.5	2.266	2.357718344	49.18	T40356_20221215_1313_087_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.94	2029.92	0.04918	2214.54
6h	6	6.6.1	1.398	1.489718344	49.44	T40356_20221214_1445_075_Tdata1	SS20221209_2	2430	0.1	0.1061	8	35.78	2029.92	0.04944	2214.54
6h	6	6.6.1	1.747	1.838718344	50.63	T40356_20221214_1445_075_Tdata2	SS20221209_2	2430	0.1	0.1061	8	35.78	2029.92	0.05063	2214.54
6h	6	6.6.1	1.749	1.840718344	49.74	T40356_20221215_1137_079_Tdata2	SS20221209_3	2430	0.1	0.1061	9	35.78	2029.92	0.04974	2214.54
6h	6	6.6.2	1.693	1.784718344	50.62	T40356_20221215_1243_084_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.86	2029.92	0.05062	2214.54
6h	6	6.6.2	1.719	1.810718344	49.82	T40356_20221215_1243_084_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.86	2029.92	0.04982	2214.54
6h	6	6.6.2	1.79	1.881718344	50.94	T40356_20221215_1243_084_Tdata3	SS20221209_3	2430	0.1	0.1061	9	34.86	2029.92	0.05094	2214.54
6h	7	7.6.1	2.203	2.294718344	49.72	T40356_20221215_1324_088_Tdata2	SS20221209_3	2430	0.1	0.1061	9	33.89	2029.92	0.04972	2214.54
6h	7	7.6.2	2.182	2.273718344	49.75	T40356_20221215_1333_089_Tdata1	SS20221209_3	2430	0.1	0.1061	9	33.48	2029.92	0.04975	2214.54
6h	7	7.6.2	2.18	2.271718344	51.14	T40356_20221215_1333_089_Tdata2	SS20221209_3	2430	0.1	0.1061	9	33.48	2029.92	0.05114	2214.54
6h	7	7.6.3	2.173	2.264718344	51.49	T40356_20221215_1345_090_Tdata1	SS20221209_3	2430	0.1	0.1061	9	33.62	2029.92	0.05149	2214.54
6h	7	7.6.3	2.177	2.268718344	51	T40356_20221215_1345_090_Tdata3	SS20221209_3	2430	0.1	0.1061	9	33.62	2029.92	0.051	2214.54
12h	5	5.12.1	2.183	2.274718344	51.19	T40356_20221215_1353_091_Tdata1	SS20221209_3	2430	0.1	0.1061	9	34.65	2029.92	0.05119	2214.54
12h	5	5.12.1	2.193	2.284718344	50	T40356_20221215_1353_091_Tdata2	SS20221209_3	2430	0.1	0.1061	9	34.65	2029.92	0.05	2214.54
